product_brand, product_name, product_shipping, product_price
AORUS,AORUS 15-X9-RT4AD Core i7-8750H NVIDIA GeForce RTX 2070 16 GB Memory 512 GB Intel SSD 1 TB HDD Win10 15.6" FHD LG IPS 144 Hz Gaming Laptop -- ONLY @ NEWEGG,Free Shipping
Microsoft,Microsoft Laptop Surface Laptop JKQ-00036 Intel Core i7 7th Gen 7660U (2.50 GHz) 8 GB Memory 256 GB SSD Intel Iris Plus Graphics 640 13.5" Touchscreen Windows 10 Pro 64-Bit,Free Shipping
Lenovo,Lenovo Laptop IdeaPad 330 81D2005CUS AMD Ryzen 5 2500U (2.00 GHz) 8 GB Memory 256 GB SSD AMD Radeon Vega 8 15.6" Windows 10 Home 64-Bit,Free Shipping
ASUS,ASUS ZenBook15.6" Intel Whiskey Lake i7-8565U, 16 GB DDR4, 1 TB PCIe SSD, GTX 1050, IR Camera, Windows 10 Pro - Icicle Silver Ultra Slim Compact FHD 4-Way NanoEdge - UX533FD-NS76 Newegg Exclusive,Free Shipping
ASUS,ASUS VivoBook 15.6" FHD Laptop, Quad-Core Ryzen 5 2500U Processor (up to 3.6 GHz) with Radeon Vega 8 Graphics, 8 GB DDR4, 256 GB M.2 SSD, 802.11ac Wi-Fi - F505ZA-DH51,Free Shipping
Lenovo,Lenovo V330-14ARR AMD Ryzen 5 2500U (2.00 GHz) 8 GB Memory 256 GB SSD AMD Radeon Vega 8 14.0" Windows 10 Pro 64-bit Laptop 81B1001GUS,Free Shipping
Acer America,Acer Aspire 3 15.6" - AMD Ryzen 7 2700U Quad-core (4 Core) 2.20 GHz - 8 GB DDR4 SDRAM - 256 GB SSD - Windows 10 Home 64-bit - 1920 x 1080 - A315-41-R14K - NX.GY9AA.014 - Obsidian Black,$2.99 Shipping
ASUS,ASUS VivoBook S Intel Core i5-8250U Processor, 8 GB DDR4 RAM, 256 GB SSD, NVIDIA GeForce MX150 15.6" FHD WideView Display, ASUS NanoEdge Bezel, Metal Cover, FingerPrint Ultra Thin and Portable Laptop,Free Shipping
Lenovo,Lenovo ThinkPad E585 20KV000WUS 15.6" LCD Notebook - AMD Ryzen 5 2500U Quad-core (4 Core) 2 GHz - 8 GB DDR4 SDRAM - 256 GB SSD - Windows 10 Pro 64-bit (English) - 1920 x 1080 - In-plane Switching (...,Free Shipping
HP,HP Laptop ProBook 450 G6 (5VC00UT#ABA) Intel Core i5 8th Gen 8265U (1.60 GHz) 8 GB Memory 256 GB SSD Intel UHD Graphics 620 15.6" 1920 x 1080 Windows 10 Pro 64-bit,Free Shipping
ASUS,ASUS VivoBook Slim and Portable Laptop, 15.6" FHD, Intel Core i7-8565U CPU, 8 GB DDR4, 256 GB SSD + 1 TB HDD, NanoEdge, NVIDIA GeForce MX150, Gun Metal Grey, Windows 10, S530FN-BH73,Free Shipping
HP,HP 15-db0008ds Laptop - AMD A9-9425 (3.10 GHz) 8 GB Memory 128 GB SSD AMD Radeon R5 15.6" Touchscreen DVD-Writer Windows 10 Home 64-bit,$8.40 Shipping
Microsoft,Microsoft Laptop Surface Laptop DAK-00021 Intel Core i7 7th Gen 7660U (2.50 GHz) 8 GB Memory 256 GB SSD Intel Iris Plus Graphics 640 13.5" Touchscreen Windows 10 S,Special Shipping
Lenovo,Lenovo Laptop IdeaPad L340 81LW000DUS AMD Ryzen 5 3500U (2.10 GHz) 8 GB Memory 256 GB SSD AMD Radeon Vega 8 15.6" Windows 10 Home 64-bit - OEM,Free Shipping
HP,HP Laptop ProBook 450 G6 6QJ33UT#ABA Intel Core i5 8th Gen 8265U (1.60 GHz) 4 GB Memory 500 GB HDD Intel UHD Graphics 620 15.6" Windows 10 Pro 64-bit,Free Shipping
ASUS,ASUS Laptop VivoBook F512DA-EB51 AMD Ryzen 5 3500U (2.10 GHz) 8 GB Memory 256 GB SSD AMD Radeon Vega 8 15.6" Windows 10 Home 64-bit,$8.40 Shipping
HP,HP Laptop 15-da0079nr Intel Core i7 7th Gen 7500U (2.70 GHz) 8 GB Memory 1 TB HDD Intel HD Graphics 620 15.6" Windows 10 Home 64-bit - OEM,$8.40 Shipping
ASUS,ASUS VivoBook  AMD A9-9425 Dual Core Processor (Boost up to 3.7 GHz) with Radeon R5 Graphics, 8 GB DDR4 RAM, 256 GB SSD, 14" FHD Display Windows 10, F441BA-DS95 Light and Powerful Laptop,,Free Shipping
DELL,DELL Laptop XPS 15-9570 Intel Core i7 8th Gen 8750H (2.20 GHz) 8 GB Memory 256 GB SSD NVIDIA GeForce GTX 1050 Ti 15.6" InfinityEdge IPS Windows 10 Pro 64-bit Newegg Exclusive,Free Shipping
HP,HP Laptop 250 G7 (5YN09UT#ABA) Intel Core i5 8th Gen 8265U (1.60 GHz) 8 GB Memory 256 GB SSD Intel UHD Graphics 620 15.6" Windows 10 Pro 64-bit,$2.99 Shipping
ASUS,ASUS ZenBook 15 Intel Whiskey Lake Core i7-8565U, 16 GB DDR4, 512 GB PCIe SSD, GTX 1050 Max-Q, IR Camera, Ultra-Slim Compact15.6" FHD 4-Way NanoEdge, Windows 10 Laptop - UX533FD-DH74,Free Shipping
GIGABYTE,GIGABYTE AERO 15-W9-RT4P 15.6" 144 Hz IPS Intel Core i7 8th Gen 8750H (2.20 GHz) NVIDIA GeForce RTX 2060 16 GB Memory 512 GB SSD Windows 10 Home 64-bit Gaming Laptop,Free Shipping
ASUS,ASUS ZenBook 14" Intel Core Whiskey Lake i7-8565U Processor, 16 GB LPDDR3, 512 GB PCIe SSD, Backlit KB, FHD Nano-Edge Bezel Windows 10 - UX433FA-DH74, Royal Blue,Free Shipping
ASUS,ASUS VivoBook S15 15.6" Full HD NanoEdge Bezel, Whiskey Lake Intel Core i5-8265U Processor, 8 GB DDR4, 256 GB SSD, Windows 10 - S530FA-DB51-IG, Icicle Gold Slim and Portable Laptop,,Special Shipping
Lenovo,Lenovo Laptop ThinkPad T480 20L50067US Intel Core i5 8th Gen 8250U (1.60 GHz) 8 GB Memory 256 GB SSD Intel UHD Graphics 620 14.0" Windows 10 Pro 64-bit,Free Shipping
ASUS,ASUS VivoBook F512 Thin & Light Laptop, 15.6" FHD NanoEdge WideView, AMD R5-3500U, 8 GB DDR4, 128 GB SSD + 1 TB HDD, Backlit KB, Fingerprint, Windows 10, Slate Grey, F512DA-EB55 - OEM,$8.40 Shipping
GIGABYTE,AERO 15 OLED SA-7US5020SH UHD AMOLED i7-9750H NVIDIA GeForce GTX 1660 Ti 6 GB GDDR6 8 GB RAM 256 GB M.2 PCIe SSD Win 10 Gaming Laptop,Free Shipping
Lenovo,Lenovo Laptops V330-14IKB8180 Intel Core i5 7th Gen 7200U (2.50 GHz) 8 GB Memory 256 GB SSD Intel HD Graphics 620 14.0" Windows 10 Pro 64-bit,Special Shipping
Apple,Apple Laptop MacBook Pro With Touch Bar MLVP2LL/A Intel Core i5 2.9 GHz 8 GB Memory 256 GB SSD Intel Iris Graphics 550 13.3" Mac OS X v10.12 Sierra,Free Shipping
DELL,Dell XPS 13 9380 Laptop 13.3" Screen Intel i7-8565U 256GB SSD 16GB RAM,Free Shipping
ASUS,ASUS VivoBook S15 S532 Thin & Light 15.6" FHD, Intel Core i7-8565U CPU, GeForce MX250, 8 GB DDR4 RAM, 256 GB PCIe NVMe SSD, IR Camera, Windows 10 Home, S532FA-EB71, Transparent Silver,$6.99 Shipping
Apple,Apple Laptop MacBook Air (Mid 2017) MQD32LL/A Intel Core i5 5th Gen 5350U (1.80 GHz) 8 GB Memory 128 GB SSD Intel HD Graphics 6000 13.3" Mac OS X v10.12 Sierra,Free Shipping
Apple,Apple 13" MacBook Air,Intel Core i7, 8GB RAM, 128GB SSD,Backlit Keyboard,Thunderbolt 2,SDXC card slot,Bluetooth,Webcam,Mac OS,Silver,Free Shipping
ASUS,ASUS VivoBook F512 Thin & Light Laptop, 15.6" FHD NanoEdge WideView, AMD R5-3500U, 8 GB DDR4, 128 GB SSD + 1 TB HDD, Backlit KB, Fingerprint, Windows 10, Transparent Silver, F512DA-EB55-SL - OEM,$8.40 Shipping
HP,HP 15.6" HD Touchscreen Notebook, Intel Quad-Core Pentium Silver N5000 Upto 2.7GHz, 8GB DDR4, 256GB SSD, HDMI, Card Reader, USB, Intel UHD Graphics 605, Wi-Fi, Bluetooth, Windows 10 Home,Free Shipping
Huawei,Huawei MateBook D Intel Core i7 8th Gen 8550U (1.80 GHz) 16 GB Memory 1 TB HDD 256 GB SSD NVIDIA GeForce MX150 15.6" Windows 10 Home 64-bit Laptop - 53010BLA,Free Shipping
